City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Marsala,IT,2021-05-17 07:46:04,37.7966,12.4352,71.6,60,0,5.75
128,Dubbo,AU,2021-05-17 07:44:02,-32.25,148.6167,51.8,62,2,8.05
129,Katsuura,JP,2021-05-17 07:46:05,35.1333,140.3,75.99,100,75,35.68
130,Lebu,CL,2021-05-17 07:46:05,-37.6167,-73.65,52.32,73,100,4.16
131,San,ML,2021-05-17 07:45:03,13.3034,-4.8956,92.8,36,81,10.36
132,Nikolskoye,RU,2021-05-17 07:46:06,59.7035,30.7861,71.01,52,0,13.42
133,Jerantut,MY,2021-05-17 07:46:06,3.936,102.3626,88.48,70,98,2.59
134,Comodoro Rivadavia,AR,2021-05-17 07:46:07,-45.8667,-67.5,39.2,87,0,2.3
135,Cabo San Lucas,MX,2021-05-17 07:42:42,22.8909,-109.9124,75.0,81,3,12.03
136,Portland,US,2021-05-17 07:41:22,45.5234,-122.6762,59.0,72,1,6.91
137,Kaitangata,NZ,2021-05-17 07:46:08,-46.2817,169.8464,50.0,73,100,1.99
138,Caravelas,BR,2021-05-17 07:46:08,-17.7125,-39.2481,69.4,86,92,3.47
139,Kysyl-Syr,RU,2021-05-17 07:46:09,63.8986,122.7617,41.38,30,100,11.32
140,Utrecht,NL,2021-05-17 07:44:34,52.0,5.25,52.0,93,100,5.99
141,Asau,RO,2021-05-17 07:46:10,46.4333,26.4,64.4,68,40,4.61
142,Bairiki,KI,2021-05-17 07:46:10,1.3292,172.9752,80.6,89,75,8.05
143,Prieska,ZA,2021-05-17 07:46:11,-29.6641,22.7474,55.56,50,0,5.41
144,Cidreira,BR,2021-05-17 07:46:11,-30.1811,-50.2056,58.21,93,90,7.96
145,Atherton,GB,2021-05-17 07:46:12,53.5237,-2.4935,55.0,85,97,1.01
146,Verkhnyaya Toyma,RU,2021-05-17 07:46:13,62.2349,44.9985,58.33,74,100,7.99
147,Georgetown,MY,2021-05-17 07:45:36,5.4112,100.3354,88.0,74,20,9.22
148,Ahipara,NZ,2021-05-17 07:46:14,-35.1667,173.1667,61.57,77,4,13.56
149,Oussouye,SN,2021-05-17 07:46:14,12.485,-16.5469,71.6,94,0,4.61
150,Cayenne,GF,2021-05-17 07:45:46,4.9333,-52.3333,75.99,90,95,5.75
151,Naze,JP,2021-05-17 07:46:15,28.3667,129.4833,78.8,89,75,11.5
152,Moses Lake,US,2021-05-17 07:46:15,47.1301,-119.2781,69.8,40,1,8.05
153,Kirakira,SB,2021-05-17 07:46:16,-10.4544,161.9205,80.67,85,44,9.48
154,Aykhal,RU,2021-05-17 07:46:16,66.0,111.5,23.14,92,100,20.65
155,Roma,US,2021-05-17 07:46:17,43.2128,-75.4557,51.01,76,1,1.88
156,Abidjan,CI,2021-05-17 07:44:05,5.3094,-4.0197,82.4,94,20,4.61
157,Vanimo,PG,2021-05-17 07:46:17,-2.6741,141.3028,83.08,80,88,5.44
158,Malanje,AO,2021-05-17 07:46:18,-9.5402,16.341,70.03,57,10,5.57
159,Zlobin,HR,2021-05-17 07:46:18,45.2924,14.6541,64.4,82,40,12.66
160,Norrtalje,SE,2021-05-17 07:46:19,59.758,18.705,50.0,100,90,9.22
161,Cherskiy,RU,2021-05-17 07:46:19,68.75,161.3,37.02,85,46,5.5
162,Daru,PG,2021-05-17 07:46:20,-9.0763,143.2092,79.65,88,93,15.5
163,Roald,NO,2021-05-17 07:46:20,62.5833,6.1333,50.0,81,20,3.44
164,Christchurch,NZ,2021-05-17 07:45:03,-43.5333,172.6333,48.99,93,36,3.44
165,Pirajui,BR,2021-05-17 07:46:21,-21.9986,-49.4572,66.2,82,0,9.22
166,Albany,US,2021-05-17 07:43:24,42.6001,-73.9662,51.01,63,9,2.62
167,Sola,VU,2021-05-17 07:46:21,-13.8833,167.55,82.72,75,36,18.79
168,Ilulissat,GL,2021-05-17 07:46:22,69.2167,-51.1,30.2,93,90,8.34
169,Naron,ES,2021-05-17 07:46:22,43.5167,-8.1528,59.0,100,20,3.44
170,Khani,GE,2021-05-17 07:46:23,41.9563,42.9566,64.4,63,75,9.22
171,Axim,GH,2021-05-17 07:46:23,4.8699,-2.2405,81.72,78,100,2.71
172,West Chester,US,2021-05-17 07:46:23,39.9607,-75.6055,51.01,81,1,3.22
