City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
150,Carballo,ES,43.21,-8.69,39.0,80,20,5.82,fog
151,Khatanga,RU,71.97,102.5,-29.09,83,68,8.52,broken clouds
152,Huambo,AO,-12.78,15.74,66.2,88,75,2.77,broken clouds
153,San Luis,AR,-33.3,-66.34,69.08,56,71,3.13,broken clouds
154,Sao Filipe,CV,14.9,-24.5,72.93,70,100,6.78,overcast clouds
155,Djibo,BF,14.1,-1.63,77.23,18,0,13.22,clear sky
156,Padang,ID,-0.95,100.35,86.49,53,87,4.0,overcast clouds
157,Gasa,PS,31.5,34.47,64.0,47,0,11.99,clear sky
158,Imeni Zhelyabova,RU,58.95,36.6,23.16,98,99,4.38,overcast clouds
159,Torbay,CA,47.67,-52.73,35.6,69,5,12.75,clear sky
160,Luebo,CD,-5.35,21.42,79.74,77,98,2.53,light rain
161,Krasnovka,RU,48.82,40.09,35.71,98,100,17.31,moderate rain
162,Labytnangi,RU,66.66,66.42,-42.45,80,27,1.59,scattered clouds
163,Moerai,PF,-22.43,-151.33,77.52,80,100,18.25,overcast clouds
164,Cayenne,GF,4.93,-52.33,73.4,100,31,1.12,scattered clouds
165,Chokurdakh,RU,70.63,147.92,-18.54,89,100,8.63,overcast clouds
166,Evinayong,GQ,1.44,10.55,72.77,90,100,2.66,overcast clouds
167,Ambilobe,MG,-13.2,49.05,88.48,59,75,11.3,broken clouds
168,Biskamzha,RU,53.45,89.53,-12.37,85,83,2.77,broken clouds
169,Kaseda,JP,31.42,130.32,46.4,61,0,2.24,volcanic ash
170,Eureka,US,40.8,-124.16,54.0,88,100,3.0,overcast clouds
171,Beringovskiy,RU,63.05,179.32,-5.75,80,95,12.71,overcast clouds
172,Chekmagush,RU,55.13,54.66,8.38,92,100,12.3,overcast clouds
173,San Cristobal,VE,7.77,-72.22,62.69,89,22,3.13,few clouds
174,Aksarka,RU,66.56,67.8,-40.72,80,19,3.67,few clouds
175,Sheridan,US,44.83,-106.92,32.0,73,1,4.7,clear sky
176,Deputatskiy,RU,69.3,139.9,-25.42,85,95,6.2,overcast clouds
177,Ponta Do Sol,PT,32.67,-17.1,64.99,77,75,18.34,light rain
178,Forestville,US,38.85,-76.88,25.0,49,20,8.05,few clouds
179,Howard Springs,AU,-12.5,131.05,77.0,94,75,5.82,heavy intensity shower rain
180,Sakai,JP,34.58,135.47,48.2,49,20,2.24,few clouds
181,Saskylakh,RU,71.92,114.08,-9.26,89,100,13.31,overcast clouds
182,Nisia Floresta,BR,-6.09,-35.21,78.8,74,40,12.75,scattered clouds
183,Mahebourg,MU,-20.41,57.7,86.0,70,40,19.46,shower rain
184,Chuy,UY,-33.7,-53.46,66.94,87,97,8.05,overcast clouds
